,season,market,name,alias,current_division,wins,losses,ties,pct
732,2013,Lake Erie College,Storm,LEC,D2,10,18,0,0.5555555555555556
733,2013,"California State University, Dominguez Hills",Toros,CSUDH,D2,7,22,0,0.3181818181818182
734,2013,Cameron University,Aggies,CU,D2,11,15,0,0.7333333333333333
735,2013,Coker College,Cobras,COKE,D2,15,13,0,1.1538461538461537
736,2013,University of the Sciences in Philadelphia,Devils,US,D2,17,11,0,1.5454545454545454
737,2013,Chadron State College,Eagles,CSU,D2,11,15,0,0.7333333333333333
738,2013,San Francisco State University,Gators,SFSU,D2,14,12,0,1.1666666666666667
739,2013,Clayton State University,Lakers,CSU,D2,10,16,0,0.625
740,2013,Missouri University of Science and Technology,Miners,MZST,D2,12,15,0,0.8
741,2013,"California State University,  Monterey Bay",Otters,CSUMB,D2,10,15,0,0.6666666666666666
742,2013,Franklin Pierce University,Ravens,FPU,D2,21,8,0,2.625
743,2013,Flagler College,Saints,FC,D2,11,15,0,0.7333333333333333
744,2013,Limestone College,Saints,LC,D2,21,9,0,2.3333333333333335
745,2013,St. Martin's University,Saints,SMU,D2,9,17,0,0.5294117647058824
746,2013,Maryville University of Saint Louis,Saints,MARY,D2,13,14,0,0.9285714285714286
747,2013,Hawaii Pacific University,Sharks,HPU,D2,15,13,0,1.1538461538461537
748,2013,Nova Southeastern University,Sharks,NSU,D2,13,17,0,0.7647058823529411
749,2013,East Central University,Tigers,ECU,D2,15,12,0,1.25
750,2013,Fort Hays State University,Tigers,FHSU,D2,22,8,0,2.75
751,2013,University of West Alabama,Tigers,UWA,D2,18,11,0,1.6363636363636365
752,2013,Ouachita Baptist University,Tigers,OBU,D2,9,17,0,0.5294117647058824
753,2013,Lincoln University (Missouri),Tigers,LCLN,D2,3,24,0,0.125
754,2013,Salem International University,Tigers,SIU,D2,14,14,0,1.0
755,2013,Newberry College,Wolves,NC,D2,19,9,0,2.111111111111111
756,2013,Western Oregon University,Wolves,WOU,D2,18,12,0,1.5
757,2013,Cheyney University of Pennsylvania,Wolves,CHEY,D2,3,23,0,0.13043478260869565
758,2013,Lees-McRae College,Bobcats,LMC,D2,7,20,0,0.35
759,2013,West Virginia Wesleyan College,Bobcats,WVW,D2,20,12,0,1.6666666666666667
760,2013,Fayetteville State University,Broncos,FSU,D2,19,10,0,1.9
761,2013,Caldwell University,Cougars,CC,D2,17,12,0,1.4166666666666667
762,2013,Columbus State University,Cougars,CLMBST,D2,14,13,0,1.0769230769230769
763,2013,Colorado Christian University,Cougars,CCU,D2,18,15,0,1.2
764,2013,New Mexico Highlands University,Cowboys,NMHU,D2,11,15,0,0.7333333333333333
765,2013,Tiffin University,Dragons,TU,D2,11,16,0,0.6875
766,2013,Pfeiffer University,Falcons,PU,D2,6,21,0,0.2857142857142857
767,2013,Notre Dame College (Ohio),Falcons,NDC,D2,11,19,0,0.5789473684210527
768,2013,University of Texas of the Permian Basin,Falcons,UTPB,D2,16,11,0,1.4545454545454546
769,2013,Emporia State University,Hornets,ESU,D2,18,13,0,1.3846153846153846
770,2013,Catawba College,Indians,CC,D2,7,19,0,0.3684210526315789
771,2013,Queens College (New York),Knights,QC,D2,9,18,0,0.5
772,2013,Regis University (Colorado),Rangers,RU,D2,7,20,0,0.35
773,2013,"University of Wisconsin, Parkside",Rangers,UWP,D2,23,7,0,3.2857142857142856
774,2013,Henderson State University,Reddies,HSU,D2,14,17,0,0.8235294117647058
775,2013,Pace University,Setters,PU,D2,7,19,0,0.3684210526315789
776,2013,King University,Tornado,KU,D2,16,13,0,1.2307692307692308
777,2013,Eckerd College,Tritons,EC,D2,17,14,0,1.2142857142857142
778,2013,"University of Missouri, St. Louis",Tritons,UMSL,D2,16,12,0,1.3333333333333333
779,2013,"University of California, San Diego",Tritons,UCSD,D2,15,11,0,1.3636363636363635
780,2013,University of Mount Olive,Trojans,MOC,D2,19,9,0,2.111111111111111
781,2013,Anderson University (South Carolina),Trojans,AU,D2,22,10,0,2.2
782,2013,Elizabeth City State University,Vikings,ECSU,D2,14,13,0,1.0769230769230769
783,2013,University of Hawaii at Hilo,Vulcans,UHH,D2,7,20,0,0.35
784,2013,Lander University,Bearcats,LU,D2,17,12,0,1.4166666666666667
785,2013,McKendree University,Bearcats,MU,D2,9,17,0,0.5294117647058824
786,2013,Wingate University,Bulldogs,WU,D2,14,13,0,1.0769230769230769
787,2013,Bowie State University,Bulldogs,BWST,D2,14,14,0,1.0
788,2013,Ferris State University,Bulldogs,FSU,D2,10,16,0,0.625
789,2013,Truman State University,Bulldogs,TSU,D2,20,7,0,2.857142857142857
790,2013,University of Minnesota Duluth,Bulldogs,UMD,D2,12,15,0,0.8
791,2013,Southwestern Oklahoma State University,Bulldogs,SWOSU,D2,17,10,0,1.7
792,2013,Hillsdale College,Chargers,HC,D2,18,9,0,2.0
793,2013,University of Alabama in Huntsville,Chargers,UAH,D2,15,13,0,1.1538461538461537
794,2013,Mississippi College,Choctaws,MSC,D2,11,14,0,0.7857142857142857
795,2013,Chestnut Hill College,Griffins,CHC,D2,10,17,0,0.5882352941176471
796,2013,Seton Hill University,Griffins,SHU,D2,15,12,0,1.25
797,2013,Missouri Western State University,Griffons,MWU,D2,10,18,0,0.5555555555555556
798,2013,Midwestern State University,Mustangs,MSU,D2,24,8,0,3.0
799,2013,Western New Mexico University,Mustangs,WNMU,D2,2,23,0,0.08695652173913043
800,2013,Southwest Minnesota State University,Mustangs,SWMN,D2,19,12,0,1.5833333333333333
801,2013,Claflin University,Panthers,CU,D2,10,19,0,0.5263157894736842
802,2013,Ohio Dominican University,Panthers,ODU,D2,5,21,0,0.23809523809523808
803,2013,Virginia Union University,Panthers,VUU,D2,6,20,0,0.3
804,2013,Florida Institute of Technology,Panthers,FT,D2,16,13,0,1.2307692307692308
805,2013,Dallas Baptist University,Patriots,DBU,D2,14,14,0,1.0
806,2013,Francis Marion University,Patriots,FMU,D2,12,15,0,0.8
807,2013,Tusculum College,Pioneers,TC,D2,3,25,0,0.12
808,2013,Malone University,Pioneers,MU,D2,15,13,0,1.1538461538461537
809,2013,"California State University, East Bay",Pioneers,CSEB,D2,7,21,0,0.3333333333333333
810,2013,St. Mary's University (Texas),Rattlers,STMU,D2,19,9,0,2.111111111111111
811,2013,Palm Beach Atlantic University,Sailfish,PBA,D2,8,18,0,0.4444444444444444
812,2013,Fort Lewis College,Skyhawks,FLC,D2,18,10,0,1.8
813,2013,University of Tampa,Spartans,UT,D2,20,11,0,1.8181818181818181
814,2013,St. Thomas Aquinas College,Spartans,STAC,D2,15,14,0,1.0714285714285714
815,2013,Brevard College,Tornados,BVC,D2,4,22,0,0.18181818181818182
816,2013,Fort Valley State University,Wildcats,FVSU,D2,21,9,0,2.3333333333333335
817,2013,Northern Michigan University,Wildcats,NMU,D2,5,21,0,0.23809523809523808
818,2013,Central Washington University,Wildcats,CWU,D2,12,14,0,0.8571428571428571
819,2013,Wayne State College (Nebraska),Wildcats,WYNST,D2,9,19,0,0.47368421052631576
820,2013,Wilmington University (Delaware),Wildcats,WILM,D2,9,19,0,0.47368421052631576
821,2013,Notre Dame de Namur University,Argonauts,NDNU,D2,7,19,0,0.3684210526315789
822,2013,William Jewell College,Cardinals,WJC,D2,11,16,0,0.6875
823,2013,Belmont Abbey College,Crusaders,BAC,D2,11,16,0,0.6875
824,2013,North Greenville University,Crusaders,NGU,D2,14,14,0,1.0
825,2013,Northwest Nazarene University,Crusaders,NNU,D2,7,19,0,0.3684210526315789
826,2013,Adams State University,Grizzlies,ADAM,D2,17,10,0,1.7
827,2013,Texas A&M University-Kingsville,Javelinas,TAMK,D2,8,19,0,0.42105263157894735
828,2013,Goldey-Beacom College,Lightning,GBC,D2,10,16,0,0.625
829,2013,LeMoyne-Owen College,Magicians,LOC,D2,10,17,0,0.5882352941176471
830,2013,University of Mary,Marauders,UM,D2,7,21,0,0.3333333333333333
831,2013,Central State University,Marauders,CSU,D2,16,11,0,1.4545454545454546
832,2013,Millersville University of Pennsylvania,Marauders,MILL,D2,13,14,0,0.9285714285714286
833,2013,Mercy College,Mavericks,MRCY,D2,3,23,0,0.13043478260869565
834,2013,Colorado Mesa University,Mavericks,CMU,D2,13,14,0,0.9285714285714286
835,2013,Sonoma State University,Seawolves,SNST,D2,7,19,0,0.3684210526315789
836,2013,University of Alaska Anchorage,Seawolves,UAA,D2,17,13,0,1.3076923076923077
837,2013,Texas A&M International University,Dustdevils,TAMI,D2,22,9,0,2.4444444444444446
838,2013,Eastern New Mexico University,Greyhounds,ENMU,D2,14,13,0,1.0769230769230769
839,2013,Georgia Southwestern State University,Hurricanes,GSW,D2,19,11,0,1.7272727272727273
840,2013,Southern Arkansas University,Muleriders,SAU,D2,12,16,0,0.75
841,2013,North Georgia College & State University,Nighthawks,UNG,D2,12,14,0,0.8571428571428571
842,2013,Northeastern State University,Riverhawks,NSU,D2,16,13,0,1.2307692307692308
843,2013,Kentucky State University,Thorobreds,KSU,D2,15,14,0,1.0714285714285714
844,2013,Albany State University (Georgia),Golden Rams,ALBS,D2,15,13,0,1.1538461538461537
845,2013,South Dakota School of Mines & Technology,Hardrockers,SDSMT,D2,6,20,0,0.3
846,2013,St. Edward's University,Hilltoppers,SEU,D2,10,17,0,0.5882352941176471
847,2013,Oakland City University,Mighty Oaks,OAKC,D2,21,6,0,3.5
848,2013,Metropolitan State University of Denver,Roadrunners,METS,D2,32,2,0,16.0
849,2013,Arkansas Tech University,Wonder Boys,ATU,D2,20,10,0,2.0
850,2013,Urbana University,Blue Knights,URB,D2,0,27,0,0.0
851,2013,"University of Arkansas, Monticello",Boll Weevils,ARKM,D2,19,10,0,1.9
852,2013,Erskine College,Flying Fleet,ERSK,D2,15,12,0,1.25
853,2013,Miles College,Golden Bears,MILES,D2,4,24,0,0.16666666666666666
854,2013,"Concordia University, St. Paul",Golden Bears,CUSP,D2,8,19,0,0.42105263157894735
855,2013,Western State College of Colorado,Mountaineers,WSC,D2,3,24,0,0.125
856,2013,Mansfield University of Pennsylvania,Mountaineers,MU,D2,8,18,0,0.4444444444444444
857,2013,Southeastern Oklahoma State University,Savage Storm,SOSU,D2,9,18,0,0.5
858,2013,Chaminade University,Silverswords,CHA,D2,19,13,0,1.4615384615384615
859,2013,Northwood University (Michigan),Timberwolves,NWOOD,D2,18,13,0,1.3846153846153846
860,2013,"University of Minnesota, Crookston",Golden Eagles,UMC,D2,4,23,0,0.17391304347826086
861,2013,"California State University, Los Angeles",Golden Eagles,CSLA,D2,15,12,0,1.25
862,2013,Tuskegee University,Golden Tigers,TUSK,D2,21,12,0,1.75
863,2013,Morehouse College,Maroon Tigers,MC,D2,7,20,0,0.35
864,2013,University of Illinois at Springfield,Prairie Stars,UIS,D2,10,18,0,0.5555555555555556
865,2013,Montana State University Billings,Yellowjackets,MSUB,D2,12,15,0,0.8
866,2013,Ohio Valley University,Fighting Scots,OVU,D2,4,23,0,0.17391304347826086
867,2013,The College of Saint Rose,Golden Knights,CSR,D2,13,14,0,0.9285714285714286
868,2013,"University of Colorado, Colorado Springs",Mountain Lions,UCCS,D2,21,9,0,2.3333333333333335
869,2013,Cedarville University,Yellow Jackets,CEDV,D2,10,18,0,0.5555555555555556
870,2013,Black Hills State University,Yellow Jackets,BHSU,D2,10,17,0,0.5882352941176471
871,2013,Rhodes College,Lynx,RHOC,D3,15,12,0,1.25
872,2013,Lesley University,Lynx,LESL,D3,7,17,0,0.4117647058823529
873,2013,Suffolk University,Rams,SUFF,D3,9,17,0,0.5294117647058824
874,2013,Farmingdale State College,Rams,FARM,D3,18,9,0,2.0
875,2013,Ursinus College,Bears,URS,D3,6,19,0,0.3157894736842105
876,2013,U.S. Coast Guard Academy,Bears,USCG,D3,6,20,0,0.3
877,2013,Nichols College,Bison,NICH,D3,23,7,0,3.2857142857142856
878,2013,Gallaudet University,Bison,GALL,D3,6,19,0,0.3157894736842105
879,2013,Haverford College,Fords,HAV,D3,8,16,0,0.5
880,2013,Hartwick College,Hawks,HART,D3,18,10,0,1.8
881,2013,Emerson College,Lions,EMC,D3,13,13,0,1.0
882,2013,Piedmont College,Lions,PIE,D3,9,16,0,0.5625
883,2013,Mount St. Joseph University,Lions,MSJ,D3,17,9,0,1.8888888888888888
884,2013,Sul Ross State University,Lobos,SRSU,D3,11,15,0,0.7333333333333333
885,2013,Kenyon College,Lords,KENY,D3,12,14,0,0.8571428571428571
886,2013,Pacific Lutheran University,Lutes,PLUT,D3,8,17,0,0.47058823529411764
887,2013,Greensboro College,Pride,GRC,D3,12,15,0,0.8
888,2013,Widener University,Pride,WIDE,D3,13,12,0,1.0833333333333333
889,2013,Rowan University,Profs,ROW,D3,12,13,0,0.9230769230769231
890,2013,Alma College,Scots,ALMA,D3,7,18,0,0.3888888888888889
891,2013,Simpson College,Storm,SCS,D3,4,21,0,0.19047619047619047
892,2013,Crown College (MN),Storm,CC,D3,12,15,0,0.8
893,2013,Emory and Henry College,Wasps,EMHE,D3,4,22,0,0.18181818181818182
894,2013,Pacific University (Oregon),Boxers,PACO,D3,16,9,0,1.7777777777777777
895,2013,George Fox University,Bruins,GFU,D3,16,9,0,1.7777777777777777
896,2013,Olivet College,Comets,OC,D3,5,20,0,0.25
897,2013,University of Texas at Dallas,Comets,TDC,D3,27,4,0,6.75
898,2013,"Fairleigh Dickinson University, Florham",Devils,FDUF,D3,13,13,0,1.0
899,2013,Eastern University,Eagles,EAST,D3,11,14,0,0.7857142857142857
900,2013,University of Mary Washington,Eagles,UMW,D3,25,6,0,4.166666666666667
901,2013,Bridgewater College (Virginia),Eagles,BWAT,D3,14,12,0,1.1666666666666667
902,2013,University of the Ozarks (Arkansas),Eagles,UOZ,D3,8,18,0,0.4444444444444444
903,2013,Keystone College,Giants,KEY,D3,11,15,0,0.7333333333333333
904,2013,Millsaps College,Majors,MILL,D3,8,16,0,0.5
905,2013,Peace College,Pacers,WPU,D3,9,16,0,0.5625
906,2013,Marywood University,Pacers,MU,D3,10,15,0,0.6666666666666666
907,2013,Anderson University (Indiana),Ravens,AND,D3,6,19,0,0.3157894736842105
908,2013,Eastern Mennonite University,Royals,EMU,D3,17,11,0,1.5454545454545454
909,2013,Thomas More College,Saints,TMC,D3,15,13,0,1.1538461538461537
910,2013,Colorado College,Tigers,CC,D3,17,8,0,2.125
911,2013,Wittenberg University,Tigers,WIT,D3,21,8,0,2.625
912,2013,Hampden-Sydney College,Tigers,HSC,D3,16,13,0,1.2307692307692308
913,2013,University of the South,Tigers,SEW,D3,13,13,0,1.0
914,2013,Trinity University (Texas),Tigers,TRIN,D3,19,10,0,1.9
915,2013,Westminster College (Pennsylvania),Titans,WM,D3,3,23,0,0.13043478260869565
916,2013,Oberlin College,Yeomen,OBER,D3,7,19,0,0.3684210526315789
917,2013,Bluffton University,Beavers,BLUF,D3,10,15,0,0.6666666666666666
918,2013,Buena Vista University,Beavers,BV,D3,14,13,0,1.0769230769230769
919,2013,The City College of New York,Beavers,CCNY,D3,7,19,0,0.3684210526315789
920,2013,California Institute of Technology,Beavers,CIT,D3,3,22,0,0.13636363636363635
921,2013,Denison University,Big Red,DEN,D3,12,14,0,0.8571428571428571
922,2013,Hood College,Blazers,HC,D3,18,11,0,1.6363636363636365
923,2013,Frostburg State University,Bobcats,FSU,D3,3,22,0,0.13636363636363635
924,2013,Albion College,Britons,ALB,D3,14,12,0,1.1666666666666667
925,2013,Kean University,Cougars,KEAN,D3,16,14,0,1.1428571428571428
926,2013,Averett University,Cougars,AVE,D3,12,14,0,0.8571428571428571
927,2013,Medgar Evers College,Cougars,MEC,D3,2,23,0,0.08695652173913043
928,2013,"University of Minnesota, Morris",Cougars,MMOR,D3,16,10,0,1.6
929,2013,Hardin-Simmons University,Cowboys,H-S,D3,19,9,0,2.111111111111111
930,2013,Messiah College,Falcons,MESS,D3,19,6,0,3.1666666666666665
931,2013,Albertus Magnus College,Falcons,AMAG,D3,28,3,0,9.333333333333334
932,2013,Goucher College,Gophers,GOUC,D3,10,15,0,0.6666666666666666
933,2013,Kalamazoo College,Hornets,KALA,D3,10,15,0,0.6666666666666666
934,2013,Lyndon State College,Hornets,LYN,D3,13,14,0,0.9285714285714286
935,2013,Shenandoah University,Hornets,SHEN,D3,12,14,0,0.8571428571428571
936,2013,Mount Saint Mary College (New York),Knights,MSMC,D3,21,7,0,3.0
937,2013,Coe College,Kohawks,COE,D3,11,14,0,0.7857142857142857
938,2013,Worcester State University,Lancers,WORC,D3,12,14,0,0.8571428571428571
939,2013,Roanoke College,Maroons,ROA,D3,12,13,0,0.9230769230769231
940,2013,Southwestern University (Texas),Pirates,SW,D3,8,18,0,0.4444444444444444
941,2013,Earlham College,Quakers,EARL,D3,5,20,0,0.25
