,market,id,code_ncaa,color
100,South Florida,55af9c69-3675-4b9b-a882-96640b782fff,651,#006747
101,Colorado State,1a470730-f328-4fb1-8bbf-36a069e4d6b2,156,#00674e
102,USC Upstate,2e78bd1b-9422-491e-9c73-37cf83b0e34e,10411,#00682e
103,Charlotte,8ddbfca9-a931-4908-aa31-9fcd17624b5f,458,#00693e
104,Green Bay,61a3e5ab-1be3-4694-b83f-edae0953f409,794,#006a4d
105,Binghamton,fa0f8282-c4f1-490e-962c-f25350cd76f4,62,#006a4e
106,Kansas,fae4855b-1b64-4b40-a632-9ed345e1e952,328,#006ab5
107,Florida A&M,cec2527e-5e1e-4817-a628-35666ef13b6e,228,#006b25
108,St. Peter's,e66d7ed2-9b4c-48c8-adaa-a276793b057d,617,#006bb6
109,Texas Rio Grande Valley,92456e1e-f48c-4385-96ab-14cb27d18726,536,#006f3c
110,Manhattan,7a270923-01d6-4a6f-a93e-e8786266d502,381,#00703c
111,Coastal Carolina,4af63ebd-d3c8-4772-bbde-938a078bd057,149,#007079
112,Dartmouth,d60357bd-1205-42e9-9092-d986a2843a34,172,#00723c
113,UCLA,ec0d6b67-4b16-4b50-92b2-1a651dae6b0f,110,#0072cf
114,Montana State,bec40585-b587-4548-93f5-b7c00b046aea,440,#0077bc
115,Eastern Michigan,2ed86226-3fff-4083-90fa-6b02307e6f73,204,#007c4e
116,Eastern Illinois,23fec4e7-108f-4569-85d1-bef2f794e925,201,#0084be
117,North Dakota,de8fc8a7-253f-4597-8a48-a0104ef226ae,494,#009A44
118,Texas A&M-CC,fe21a988-3e96-4f3c-8f9f-b449ccda43b0,26172,#013197
119,Columbia,ca74bd67-034c-4468-8487-6f983f5eb4f6,158,#015289
120,IPFW,22984593-0701-4648-b8a8-f6d695238620,308,#015838
121,Houston Baptist,95a27dc5-16d5-4745-9adb-34c41e1444e8,287,#023795
122,Buffalo,a9f5c9a2-342c-4881-9996-5d5c05ec9bd9,86,#041A9B
123,East Tennessee State,d750d88f-f7b8-4bc3-a5f6-36e7a67ec93e,198,#041E42
124,Siena,aba39ad0-6d9f-4946-bf7e-5c63bf966ce6,639,#04523c
125,Saint Mary's,b18f34af-a7f1-4659-a2e5-fc11a31cd316,610,#06315b
126,Baylor,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf,51,#083a27
127,Marshall,58d8baa3-7624-4b21-a47f-a23df2bf8859,388,#11461b
128,Charleston Southern,a3fef707-e4fc-48a0-82f1-f4ef01b76f45,48,#11467b
129,William & Mary,ad24b724-a11c-4dcd-a68c-67c53833ccb7,786,#115740
130,Mount St. Mary's,5fe4a398-1699-4442-a364-305b2f0ac01e,450,#122d53
131,Citadel,412e7f0d-fb93-4e6e-be1f-9a4c7490d121,141,#132e5e
132,Northern Kentucky,ab9a1315-293f-42d3-a164-860216e81576,505,#141414
133,Virginia Commonwealth,c1c1e6df-a383-4fbd-ba7b-32d4f9ef9518,740,#141414
134,Vanderbilt,72971b77-1d35-40b3-bb63-4c5b29f3d22b,736,#141414
135,Purdue,12d7f888-675b-459f-9099-a38f771d8a95,559,#141414
136,Iowa,c10544de-e3bd-4776-ba2e-83df8c017fd1,312,#141414
137,Cincinnati,a17dfc54-415f-49c3-a2e6-d6fa9db18b0a,140,#141414
138,Wake Forest,4fbebf0a-e117-4a0c-8f15-c247535a2a1b,749,#141414
139,Wichita State,f38b58de-3273-4723-a78b-2f918e9aa2d5,782,#141414
140,Providence,7d3b9c72-cbdd-4b64-9aa3-a5bde9b75fdc,556,#141414
141,Liberty,559db90c-741f-40d1-aa81-3fdd1d4889f3,355,#15264e
142,Robert Morris,6906e22d-92fa-40cb-8c05-ec8391ac1979,579,#16234a
143,N.J.I.T.,500d7223-ecff-494b-9539-28427156c783,471,#163e68
144,Nebraska-Omaha,68d2aa5b-714f-4652-96f3-b71e1752413f,464,#163e68
145,Michigan State,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,416,#18453B
146,North Carolina-Wilmington,c54279f9-3028-4663-893a-7d22482f8098,460,#192857
147,UAB,63a8fdcf-b51b-4de3-8a57-2a6e41d362ce,9,#1E6B52
148,Longwood,600aad0e-85e7-4db8-be0b-94ba02a08e55,363,#1a5595
149,Albany,290a5130-836d-45e6-824f-28704d6ba246,14,#1b2777
150,Norfolk State,a8f75c12-c4db-401f-99e3-b48209d85274,485,#1d8e77
151,High Point,a311188e-1259-4fda-b0ea-c47cb52694b1,19651,#243a94
152,San Francisco,d24efd99-8717-43b9-a086-9986a684ac04,629,#254929
153,Delaware State,ffa04cde-aa2d-4e91-b2cd-bde2bfed44de,178,#279fcc
154,Loyola Marymount,441a11b4-b506-45b3-8030-fe72a4381c40,370,#2e3d65
155,Stephen F. Austin,5ef64f01-86ae-4553-9834-c79cc0859eaf,676,#330066
156,Navy,3b088563-ca8a-49a6-9e19-5e4cb186ae1d,726,#333366
157,Wagner,3b644902-cd06-4930-9a3e-6c78cfb1f464,748,#336356
158,Ohio,327f09e2-e75f-4014-8ef7-caf9202cd583,519,#336633
159,TCU,f7fcbb6e-4a55-41ea-ba21-f763ed914467,698,#34297a
160,Furman,ca5318f2-48eb-4f6b-896a-966b900aa42f,244,#34327c
161,Portland,224e3b21-30e7-4a05-9e8c-62721d581db8,551,#351576
162,Washington,e52c9644-717a-46f4-bf16-aeca000b3b44,756,#39275B
163,LSU,70e2bedd-3a0a-479c-ac99-e3f58aa6824b,365,#461d7c
164,Northern Iowa,2c93a75d-5449-4ec1-9ca2-1e6c812399a4,504,#473282
165,James Madison,524e3eec-7dde-45c7-b3cc-6308cec73350,317,#484191
166,Missouri State,b83de2df-328f-4303-9895-cdff048fb1ed,669,#491317
167,Weber State,4743cb7c-784a-4b95-a380-5471f92f2217,758,#492365
168,Wyoming,a7127c0a-a466-47ae-91ad-9a71ee2c9427,811,#492f24
169,Grand Canyon,f7e6acc3-0778-4de5-940a-d88e20df1159,1104,#4e0c76
170,Bowling Green,a9e4d292-d074-40e7-a81a-f9342929b979,71,#4f2c1d
171,Texas A&M,ef184799-d79b-49d9-a662-991eaf4044cd,697,#500000
172,Niagara,f7575278-12ec-494a-b544-427c1759d43d,482,#502d7f
173,Kansas State,d203f38a-a166-4258-bca2-e161b591ecfb,327,#502d7f
174,Northwestern,4b7dedc0-7b48-49a4-aad6-8a94a33274d2,509,#512698
175,Western Michigan,f2164f01-2cbc-4967-bb1c-93656d790921,774,#522c1b
176,Evansville,d8217105-e9c2-4267-9538-3aaeea1ae167,219,#532380
177,Central Arkansas,dfc2dfb7-aa67-4c48-99c9-4fa6c6bc4355,1004,#53327d
178,Florida State,d3c8a767-b6fc-45d4-a5f2-18406f2993f1,234,#540115
179,Northwestern State,71874e7e-8260-43f9-bb7c-65f267dbe8ce,508,#54209e
180,San Jose State,29de4e5e-ee5b-48c8-bffc-1972e7da1e30,630,#5492cc
181,Eastern Kentucky,e48e3dd5-721c-4d96-8ff4-790fe2597bfd,202,#5E213B
182,Texas State,1e5dc9e4-c60d-487b-8279-dfbec9229faa,670,#5a2c34
183,Southern University,a3b13d27-ec14-4a7d-88a2-0bc9f7b58984,665,#5fb2e3
184,Holy Cross,31aedd91-a77e-46c1-8bdc-80e9860c159d,285,#602d89
185,Valparaiso,df3da9d7-2d2b-44e2-99e2-08c4945a203b,735,#613318
186,Central Michigan,472c22e0-843d-472c-a871-f1593fb0725d,129,#630237
187,Lehigh,508f503f-dc57-4f4c-a01e-4f195e5c05c8,352,#653600
188,Louisiana-Monroe,18585f21-1d63-4400-974c-433fd5073c34,498,#660000
189,Mississippi State,a1ba4b89-d97c-44e2-835f-79ad3ccaa5ae,430,#660000
190,Virginia Tech,324ccccc-575b-4b82-acb0-fbb8e68da13b,742,#660000
191,Western Illinois,cc9e5424-ab3b-41ec-b2aa-7e8a73d759c6,771,#663399
192,Maine,0095032d-6143-44f2-8974-f6815fc56c5b,380,#6696be
193,Abilene Christian,a52b2ece-1f87-45b5-ae1e-8d0920479965,2,#68278e
194,East Carolina,a601205f-3bfe-4052-ac0b-b8f18cf3efd3,196,#6944a0
195,Arkansas-Little Rock,0dadedb0-2bd3-45e7-91a3-93af6c4e87f2,32,#6e2639
196,Texas Southern,eb157f98-0697-459c-9293-ddb162ceb28b,699,#70283e
197,Iona,255c2a87-40c0-4989-bbb9-d286aac5d28e,310,#702e3d
198,Alcorn State,1bddc811-44cf-4e53-b4ab-11c8dc82c9de,17,#703690
199,Santa Clara,28023973-1d9d-4d01-b939-dc8f9b44fb1c,631,#720900
200,South Carolina,1c7ec608-3b36-4cee-adac-9265e3792597,648,#73000A
201,Charleston,8548dacb-3636-48a8-8c46-611ab0c15fc0,1014,#772932
202,St. Bonaventure,22d90601-19d4-461b-a901-924d12f116ed,596,#7b2d19
203,Prairie View A&M,91ec9ba2-12e5-4a75-9410-a166c82163fd,553,#803e99
204,Minnesota,fa416692-7e09-4f0a-9bcf-0cf7d5149a14,428,#872434
205,Troy,6373b18c-62f6-49bc-bd4c-8959a2466516,716,#872434
206,Southern Illinois,7cdfcf92-7fe7-46f1-9b66-6912114182e6,659,#872e3f
207,North Carolina Central,e4c315a0-e83f-4d14-856e-34a0463059e3,489,#880023
208,Massachusetts,88104678-e53b-43b3-82f7-efb3a11cedb9,400,#881c1c
209,New Mexico State,5016fe1a-9571-4d10-bf5b-b9c1b496bd57,472,#882345
210,Wofford,9916713f-b243-452b-93ae-a2c3ccabf68b,2915,#886E4C
211,Arizona State,ad4bc983-8d2e-4e6f-a8f9-80840a786c64,28,#8b2346
212,Montana,e3848467-66c0-41e5-8283-02e3586d8601,441,#8b2346
213,North Carolina,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1,457,#8db9e5
214,Maryland-Eastern Shore,d20216d8-161c-46e3-b8d2-92208ddf5acf,393,#8f2532
215,South Carolina State,a44f8c85-7ab6-4a4e-b6f1-c69a4cabe1ed,647,#951123
216,Lafayette,6af02334-9ac3-452f-bcf4-20abdb72bd07,342,#98002e
217,Boston College,4b3ff02c-e0ba-435b-a565-6075bc491684,67,#98002e
218,Elon,8accb91e-6086-41b3-a420-7a82fa442365,1068,#98002e
219,Washington State,2d4f0015-adb4-4877-8c15-4a6eed7eed03,754,#981e32
220,Stony Brook,23426c0b-1705-4dfb-a0e2-efdbdd8fd6f6,683,#990000
221,USC,3a000455-de7c-4ca8-880e-abdce7f21da9,657,#990000
222,Brown,558abf02-97f4-4323-aa99-63c076d35932,80,#996633
223,Indiana,c3f0a8ce-af67-497f-a750-3b859376b20a,306,#9e1b32
224,Temple,8598d1b6-106b-4083-a512-2e495729525a,690,#9e1b34
225,Oakland,aeaaef0d-5238-414e-ac04-c55a22cba208,514,#9f8346
226,Harvard,5c7bf63f-bc39-43c5-9907-73b50b7a6b34,275,#A41034
227,Iowa State,0e4258fa-3154-4c16-b693-adecab184c6c,311,#A71930
228,San Diego State,e6914f16-ca37-4d2e-ba26-a425910283e2,626,#A81933
229,Louisville,b795ddbc-baab-4499-8803-52e8608520ab,367,#AD0000
230,Arkansas,c70c23c4-ab09-4797-a1af-792c848ab17f,31,#BE0F34
231,Arkansas State,95826e36-ea33-4b51-83a8-7b4cc20999ee,30,#BE0F34
232,Austin Peay,a0fdb660-a822-4337-b01d-31c4d2c99c8a,43,#C41E3A
233,Texas Tech,f8c705b7-87d3-411a-9c8b-5124daab0469,700,#CC0000
234,Houston,1f99a164-d593-4d81-85d5-0d7889d6f486,288,#CC0000
235,Georgia,4f4b0771-994c-4126-822d-7525aaa00f65,257,#CC0000
236,Illinois-Chicago,dfe0d93f-94a5-47fb-b7aa-f74786e09acb,302,#CC3333
237,Cornell,88ff8c00-958e-4ccf-a21d-77fab9e93692,167,#CC3333
238,Texas,6ed15092-2670-450a-99c2-61d861e87644,703,#CC5500
239,St. John's,c1f4aae1-aa16-4095-aeab-10e5c2a1236a,603,#CF102D
240,Missouri,77ca152a-cb2f-48a5-97b2-492351250d94,434,#F1B82D
241,Clemson,dcf5c2e7-c227-4c20-af26-715d5f859412,147,#F66733
242,Oklahoma State,8ab00d43-840a-4c96-bdee-bf88fa6e3f11,521,#FF6600
243,Eastern Washington,54df21af-8f65-42fc-bc01-8bf750856d70,207,#a10022
244,St. Francis (PA),6637ac5f-59c2-4888-af34-a86d138ccfb3,600,#a31100
245,Alabama,c2104cdc-c83d-40d2-a3cd-df986e29f5d3,8,#a32136
246,Alabama A&M,949c3398-85e4-4c63-ba71-9a82e06ddea4,6,#a41e4c
247,Bryant University,61dadefa-76bf-4db4-8067-f88df540b9cd,81,#a49372
248,Colgate,80a19b57-d6ab-4bee-934f-33a72c2e958a,153,#a50334
249,Loyola (MD),175d34a7-3823-4e4f-9f11-2464f55360b8,369,#a5a6a8
250,Stanford,683ab61f-546f-44da-b085-c3a5740554aa,674,#a80532
251,Oklahoma,b2fda957-e15c-4fb2-8a13-6e58496f561e,522,#a80532
252,Saint Joseph's (PA),f9e4261e-d11d-46c4-bd33-c7bbc94ef0e8,606,#a80532
253,Fordham,7888d144-563d-4f84-b99b-d120aecf1fef,236,#a90332
254,Winthrop,ca441726-0c57-4456-b1e7-fff098484fb5,792,#a90533
255,Quinnipiac,6a8d2a24-2128-47a0-913f-3d29e9d6592c,562,#aa8406
256,Pennsylvania,e6c94452-1adf-4fb9-90e5-10f165c57c5a,540,#ae223e
257,Nicholls State,c0d19efd-d40c-4e32-8e90-dbcb28178b5d,483,#afb7ba
258,Georgia Tech,0f63a6f5-bda7-4fd9-9271-8d33f555ca19,255,#b09465
259,Northern Illinois,3f0ac618-3742-471a-9d1f-03e08f3deca2,503,#b42836
260,Idaho,ec6185b7-4e0c-4eb8-99ef-f3a4dccf6b91,295,#b58e5b
261,Denver,6f676cba-c1f9-45a4-9016-fb408fd525b1,183,#b6a880
262,Ohio State,857462b3-0ab6-4d26-9669-10ca354e382b,518,#bb0000
263,Rider,0b73b9b9-1e29-4b14-b5d8-0405fe942e32,576,#bb1c30
264,UCF,054c3e85-0552-4549-b123-7e84af6e7b6c,128,#bba378
265,UMBC,32755362-6336-4dd3-ac34-6f72a6cc150b,391,#bc9300
266,Jacksonville State,13358462-e05b-4449-8688-90c4622cdde8,315,#be0f34
267,New Mexico,1b1977ec-b32f-4ce3-95a4-d07bab4816cd,473,#be0f34
268,Wisconsin,c7569eae-5b93-4197-b204-6f3a62146b25,796,#be0f34
269,Grambling State,6776c7e6-f4c2-47bd-99e5-39fc179a3197,261,#be9a02
270,Utah,0d037a5d-827a-44dd-8b70-57603d671d5d,732,#c20430
271,Seattle,7e100f63-0b32-49f6-a954-f5b7c8cf48ad,1356,#c3362e
272,Gardner-Webb,79871449-f5a1-4650-b3cf-85b78fd6943e,1092,#c41230
273,Virginia Military,227d3567-d57b-417e-afc4-735e4cb308a1,741,#c41700
274,Oral Roberts,095417ae-62b0-4109-afc4-d92918599dd4,527,#c4b888
275,Cal State Northridge,cb732075-23a5-4e71-9037-50a7a002bdb2,101,#c70029
276,Florida International,a8ac24ca-3b7a-4610-ad99-042661584c48,231,#c79d1f
277,Illinois State,509aacc4-c121-46a2-800a-d5431ef181d2,299,#ca1134
278,UNLV,68a3227f-677f-43b0-9a3a-cad79d0df9e2,465,#cc092f
279,North Carolina State,52df1e19-b142-4a76-a439-ad68455d0581,490,#cc092f
280,Army,6dfaf0ba-47c4-4e05-b0a7-72734747d48f,725,#ccb284
281,American University,2f513e67-f019-4eec-9096-fbc5911858b6,23,#cf102d
282,Louisiana-Lafayette,63cad858-8654-4956-8438-8fe79cd1208a,671,#cf202f
283,Rutgers,b03bb029-4499-4a2c-9074-5071ed360b21,587,#d21034
284,Western Kentucky,881380da-861c-4ab6-a7d2-20699d8ea883,772,#d41a00
285,Youngstown State,da7d41bc-48b0-4a04-948f-792d6470bcb5,817,#d41a00
286,Marist,15d31915-fbd6-4ae3-8e4b-f3b563c56a18,386,#d4362a
287,Miami (OH),1165ca31-f181-4206-b727-c4e897e4b5cd,414,#d51a00
288,Western Carolina,6bff595c-32cb-4028-837c-c7de2a2107e6,769,#d5a977
289,Fresno State,dd8db4d8-d984-4cab-b7f6-22c6b8c2c45f,96,#d6083b
290,Sacred Heart,3556d445-b3f1-467e-b150-952b32dfb150,590,#d6243d
291,Appalachian State,87d88c93-29bc-4306-b0a6-87c6f6e80da1,27,#d6ac00
292,Incarnate Word,912671c7-19fd-451b-813e-885485427820,2743,#d72c23
293,Towson,6f3eec09-2918-4739-a0e8-5d79e14a8332,711,#d7aa01
294,Tennessee Tech,fe037cba-25d9-42f5-a461-61d7102c17de,692,#d7aa01
295,Southern Utah,c7116621-45ed-4ab1-9ad9-dee524120569,667,#d8240e
296,Ball State,315c4deb-3c9d-413d-a369-7168f2545d21,47,#d90400
297,Boston University,de9a0e19-b83c-4b98-a6da-81c110cb364b,68,#d90400
298,IUPUI,90ec10eb-38a4-4a69-b072-ef71d294933b,2699,#dab36b
299,Coppin State,5f9a90a2-3926-404e-8c8a-d9f22ad6907d,165,#dfb100
300,Illinois,150148c2-ca8f-414f-8f41-d94a55d4a122,301,#e0322a
301,Southeast Missouri State,6a7083ab-1832-48c0-9168-427b35adbcde,654,#e03a3e
302,UMKC,820c8f26-cf11-4997-b2e2-19f47bd2f72f,2707,#e0ae00
303,UC Riverside,6b170a32-8445-4cb1-8638-724996c3094b,111,#e0ae00
304,Radford,f2cf9ba2-ac8c-4d92-8e7a-48dd88e8f40b,563,#e13a3e
305,Oregon State,532d3874-b4b3-4c5c-acc6-749a6db26c8f,528,#e24912
306,Maryland,2778d005-cc14-4e58-9bf2-3fc37bffb62f,392,#e31836
307,SMU,3f4515ea-4472-46b9-ac9e-16d7d8f22a38,663,#e51932
308,Davidson,2920c5fa-1e86-4958-a7c4-1e97b8e201d8,173,#e51937
309,Nebraska,f8b1bf00-5b73-4ac4-98c0-ec554027ae32,463,#e51937
310,Pepperdine,17479d6f-c8f1-458b-9412-8c76279a2bb4,541,#e57728
311,Princeton,fe406882-9f22-495e-9df6-ef357a6803c6,554,#e87132
312,Fairfield,a381465b-4530-4a00-a50c-5253cd7695a0,220,#e93337
313,Canisius,0113eea0-c943-4fff-9780-ae0fb099e7ef,116,#eaac18
314,South Alabama,10c614fa-9646-46cf-a1fb-5af96772bbb8,646,#eb1e00
315,UTEP,06d15d35-4955-4fdd-83d9-32d24dbd795b,704,#eb5a0d
316,Loyola (IL),61a3908a-7492-4b6f-809e-12c61976bb0a,371,#eb9f00
317,Hartford,dba620d9-7282-4638-bf05-13caf48eeed1,272,#ec1a2c
318,Lamar,eda6c307-1e0f-4a28-82f4-ee9653b343fb,346,#ec2a31
319,Mercer,a14b0057-8eb5-43d2-a33b-666196da933e,406,#ec751f
320,Kennesaw State,2e8442e9-bd09-4d46-9dd3-de79433287f3,1157,#ecbb09
321,Drexel,f2d01b77-0f5d-4574-9e49-2a3eaf822e44,191,#ecc217
322,Howard,22fbe5dc-c6db-4675-b3a3-2d8af7f5d313,290,#ef3e43
323,Wright State,9c396fa7-c165-4599-8542-158bd0d9a199,810,#efad00
324,Long Beach State,11a617d5-af03-4cce-bc8a-51114d9e41fe,99,#efc309
325,La Salle,ad9a3e21-4585-4e35-8946-290fe4a16f18,340,#efc309
326,Southern Miss,6120ac5d-e0f2-4b28-9e6f-ee71596a7e88,664,#f0bc28
327,Alabama State,267d417a-8f85-4c87-a15a-068c089a74c6,7,#f19d17
